week_start,week_end,count,weekly_pct_change,total_pct_change
2025-11-24,2025-11-30,110,,-54.54545454545454
2025-12-01,2025-12-07,1239,1026.3636363636363,-54.54545454545454
2025-12-08,2025-12-14,2420,95.31880548829702,-54.54545454545454
2025-12-15,2025-12-21,1352,-44.132231404958674,-54.54545454545454
2025-12-22,2025-12-28,792,-41.42011834319527,-54.54545454545454
2025-12-29,2026-01-04,727,-8.207070707070708,-54.54545454545454
2026-01-05,2026-01-11,666,-8.390646492434662,-54.54545454545454
2026-01-12,2026-01-18,633,-4.95495495495496,-54.54545454545454
2026-01-19,2026-01-25,972,53.554502369668256,-54.54545454545454
2026-01-26,2026-02-01,974,0.2057613168724215,-54.54545454545454
2026-02-02,2026-02-08,1070,9.856262833675554,-54.54545454545454
2026-02-09,2026-02-15,19,-98.22429906542057,-54.54545454545454
2026-02-16,2026-02-22,1940,10110.526315789473,-54.54545454545454
2026-02-23,2026-03-01,2087,7.577319587628861,-54.54545454545454
2026-03-02,2026-03-08,2190,4.9353138476281755,-54.54545454545454
2026-03-09,2026-03-15,483,-77.94520547945206,-54.54545454545454
2026-03-16,2026-03-22,50,-89.648033126294,-54.54545454545454
