week_start,week_end,count,weekly_pct_change,total_pct_change
2025-12-15,2025-12-21,184,,-84.78260869565217
2025-12-22,2025-12-28,53,-71.19565217391303,-84.78260869565217
2025-12-29,2026-01-04,64,20.75471698113207,-84.78260869565217
2026-01-05,2026-01-11,73,14.0625,-84.78260869565217
2026-01-12,2026-01-18,111,52.05479452054795,-84.78260869565217
2026-01-19,2026-01-25,45,-59.45945945945945,-84.78260869565217
2026-01-26,2026-02-01,50,11.111111111111116,-84.78260869565217
2026-02-02,2026-02-08,55,10.000000000000009,-84.78260869565217
2026-02-09,2026-02-15,0,-100.0,-84.78260869565217
2026-02-16,2026-02-22,0,,-84.78260869565217
2026-02-23,2026-03-01,30,,-84.78260869565217
2026-03-02,2026-03-08,30,0.0,-84.78260869565217
2026-03-09,2026-03-15,55,83.33333333333333,-84.78260869565217
2026-03-16,2026-03-22,28,-49.09090909090909,-84.78260869565217
