week_start,week_end,count,weekly_pct_change,total_pct_change
2025-11-24,2025-11-30,523,,-98.47036328871893
2025-12-01,2025-12-07,263,-49.7131931166348,-98.47036328871893
2025-12-08,2025-12-14,278,5.703422053231932,-98.47036328871893
2025-12-15,2025-12-21,298,7.194244604316546,-98.47036328871893
2025-12-22,2025-12-28,347,16.442953020134233,-98.47036328871893
2025-12-29,2026-01-04,204,-41.210374639769455,-98.47036328871893
2026-01-05,2026-01-11,375,83.8235294117647,-98.47036328871893
2026-01-12,2026-01-18,251,-33.06666666666666,-98.47036328871893
2026-01-19,2026-01-25,256,1.9920318725099584,-98.47036328871893
2026-01-26,2026-02-01,4,-98.4375,-98.47036328871893
2026-02-02,2026-02-08,0,-100.0,-98.47036328871893
2026-02-09,2026-02-15,0,,-98.47036328871893
2026-02-16,2026-02-22,13,,-98.47036328871893
2026-02-23,2026-03-01,174,1238.4615384615386,-98.47036328871893
2026-03-02,2026-03-08,263,51.14942528735633,-98.47036328871893
2026-03-09,2026-03-15,74,-71.86311787072243,-98.47036328871893
2026-03-16,2026-03-22,8,-89.1891891891892,-98.47036328871893
